main,scale,stock,best_epoch,val_loss,test_IC,test_RIC,test_prec_10,test_SR,delta_IC,delta_RIC,delta_prec_10,delta_SR,mare_all4,mare_rank3,stdout_log,stderr_log
relu,gelu,gelu,15,0.00099,0.0213,0.268,0.505,1.03,-0.021699999999999997,-0.23299999999999998,-0.040000000000000036,-0.43500000000000005,0.33501096153200849,0.34770517282766095,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\18_relu_gelu_gelu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\18_relu_gelu_gelu.err.log
gelu,hardswish,hardswish,15,0.001,0.0261,0.31,0.517,1.27,-0.016899999999999995,-0.191,-0.028000000000000025,-0.19500000000000006,0.23968568240020643,0.275212309184348,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\19_gelu_hardswish_hardswish.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\19_gelu_hardswish_hardswish.err.log
gelu,hardswish,relu,15,0.00101,0.0271,0.312,0.519,0.724,-0.015899999999999997,-0.189,-0.026000000000000023,-0.7410000000000001,0.3251303551606049,0.2649064576202832,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\20_gelu_hardswish_relu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\20_gelu_hardswish_relu.err.log
gelu,hardswish,gelu,13,0.00106,0.0247,0.299,0.506,-0.512,-0.018299999999999997,-0.202,-0.039000000000000035,-1.977,0.56245567393958,0.30011154705027043,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\21_gelu_hardswish_gelu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\21_gelu_hardswish_gelu.err.log
gelu,relu,hardswish,13,0.00102,0.0265,0.297,0.512,0.952,-0.016499999999999997,-0.20400000000000001,-0.033000000000000029,-0.51300000000000012,0.30040691653870832,0.28381900589688985,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\22_gelu_relu_hardswish.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\22_gelu_relu_hardswish.err.log
gelu,relu,relu,13,0.00103,0.0261,0.305,0.506,0.764,-0.016899999999999995,-0.196,-0.039000000000000035,-0.70100000000000007,0.33357468680677355,0.28526681790391195,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\23_gelu_relu_relu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\23_gelu_relu_relu.err.log
gelu,relu,gelu,13,0.001,0.0179,0.234,0.518,-0.402,-0.025099999999999997,-0.267,-0.027000000000000024,-1.867,0.61014976918704544,0.38873211545758496,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\24_gelu_relu_gelu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\24_gelu_relu_gelu.err.log
gelu,gelu,hardswish,13,0.00104,0.0241,0.303,0.505,-0.576,-0.018899999999999997,-0.198,-0.040000000000000036,-2.041,0.5753282553513861,0.3027129866573659,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\25_gelu_gelu_hardswish.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\25_gelu_gelu_hardswish.err.log
gelu,gelu,relu,13,0.00104,0.0268,0.313,0.512,-0.0153,-0.016199999999999996,-0.188,-0.033000000000000029,-1.4803000000000002,0.45574695794173448,0.27084804858670397,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\26_gelu_gelu_relu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\26_gelu_gelu_relu.err.log
gelu,gelu,gelu,13,0.00104,0.0202,0.223,0.507,0.374,-0.022799999999999997,-0.278,-0.038000000000000034,-1.0910000000000002,0.47488936148838412,0.3849491827808717,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\27_gelu_gelu_gelu.out.log,C:\Users\tvquy\AppData\Local\Temp\stockmixer_activation_grid_20260506_065913\27_gelu_gelu_gelu.err.log
